Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,User_Score,Rating
Sony Computer Science Kenkyuujo Mogi Kenichirou Hakase Kanshuu: Nou ni Kaikan Aha Taiken!,PSP,2006,Misc,Sega,0.0,0.0,0.07,72.0,7.5,
Mega Man Battle Network: Operation Shooting Star,DS,2007,Role-Playing,Capcom,0.0,0.0,0.07,72.0,7.5,
Futurama,PS2,2003,Platform,SCi,0.04,0.03,0.0,59.0,6.6,T
Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,2004,Platform,Nintendo,0.0,0.0,0.07,72.0,7.5,
The History Channel: Battle for the Pacific,PS3,2008,Shooter,Activision,0.07,0.0,0.0,36.0,2.4,T
Rayman 3: Hoodlum Havoc,XB,2003,Platform,Ubisoft,0.06,0.02,0.0,75.0,7.9,E
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,Misc,Hudson Soft,0.0,0.0,0.07,72.0,7.5,
Superman Returns,DS,2006,Action,Electronic Arts,0.07,0.0,0.0,33.0,4.9,E
My First Songs,Wii,2010,Misc,Mindscape,0.0,0.06,0.0,72.0,7.5,
Super Ghouls 'n Ghosts,GBA,2002,Platform,Capcom,0.05,0.02,0.0,78.0,8.8,E
Boxing,PS,2000,Fighting,Midas Interactive Entertainment,0.04,0.03,0.0,72.0,7.5,
NHL Open Ice,PS,1996,Sports,Midway Games,0.04,0.03,0.0,72.0,7.5,
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,60.0,8.0,E10+
Gundam Battle Tactics,PSP,2005,Action,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Touch Detective: Nameko Shigeru,3DS,2013,Adventure,Success,0.0,0.0,0.07,72.0,7.5,
Need for Speed Underground 2,PC,2004,Racing,Electronic Arts,0.0,0.06,0.0,82.0,8.5,T
Sky Gunner,PS2,2001,Action,Sony Computer Entertainment,0.04,0.03,0.0,72.0,7.5,
And1 Streetball,XB,2006,Action,Ubisoft,0.06,0.02,0.0,72.0,7.5,
Gladius,GC,2003,Strategy,Activision,0.06,0.01,0.0,82.0,8.8,T
The Hustle: Detroit Streets,PSP,2005,Sports,Deep Silver,0.07,0.0,0.0,51.0,5.3,T
PhotoKano,PSV,2013,Adventure,Kadokawa Shoten,0.0,0.0,0.07,72.0,7.5,
Warriors Orochi 3,PSV,2013,Action,Tecmo Koei,0.0,0.0,0.07,72.0,7.5,
Real Sound: Kaze no Riguretto,SAT,1997,Adventure,Warp,0.0,0.0,0.07,72.0,7.5,
Blood Drive,PS3,2010,Racing,Activision,0.07,0.0,0.0,47.0,7.0,M
Again,DS,2009,Adventure,Ackkstudios,0.07,0.0,0.0,72.0,7.5,
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,2013,Sports,Sega,0.0,0.0,0.07,72.0,7.5,
Summon Night 4,PSP,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Escape Dead Island,PS3,2014,Action,Deep Silver,0.04,0.03,0.0,40.0,3.5,M
Torchlight,PC,2009,Role-Playing,JoWood Productions,0.0,0.06,0.0,83.0,8.0,T
Pac-Man World 3,PSP,2005,Platform,Namco Bandai Games,0.07,0.0,0.0,61.0,6.0,E
Rogue Trooper: Quartz Zone Massacre,Wii,2009,Shooter,Reef Entertainment,0.06,0.0,0.0,70.0,8.2,T
Hero Bank,3DS,2014,Role-Playing,Sega,0.0,0.0,0.07,72.0,7.5,
Disney's Planes,3DS,2013,Simulation,Disney Interactive Studios,0.04,0.03,0.0,72.0,4.3,E
Classic Road,PS,1995,Sports,Victor Interactive,0.0,0.0,0.07,72.0,7.5,
Cartoon Network: Punch Time Explosion XL,X360,2011,Fighting,Crave Entertainment,0.07,0.0,0.0,72.0,7.5,
Utawarerumono: Itsuwari no Kamen,PSV,2015,Adventure,Aqua Plus,0.0,0.0,0.07,72.0,7.5,
Damage Inc.: Pacific Squadron WWII,X360,2012,Simulation,Mad Catz,0.07,0.0,0.0,49.0,5.5,T
The Idolm@ster: Live for You!,X360,2008,Misc,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,2012,Adventure,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Smashing Drive,GC,2007,Racing,Unknown,0.06,0.01,0.0,47.0,5.2,T
Mega Man Xtreme,GB,2000,Platform,Capcom,0.0,0.0,0.07,72.0,7.5,
F.E.A.R. 2: Project Origin,PC,2009,Shooter,Warner Bros. Interactive Entertainment,0.02,0.05,0.0,79.0,7.8,M
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.06,0.0,0.0,62.0,7.7,
Godai: Elemental Force,PS2,2002,Action,3DO,0.04,0.03,0.0,27.0,3.8,T
Still Life,XB,2005,Adventure,Microids,0.05,0.02,0.0,70.0,8.2,M
Big Mutha Truckers 2,XB,2005,Racing,Empire Interactive,0.05,0.02,0.0,50.0,3.4,M
Hang On GP,SAT,1995,Racing,Sega,0.0,0.0,0.07,72.0,7.5,
Uprising X,PS,1998,Action,3DO,0.04,0.03,0.0,72.0,7.5,
SpongeBob's Truth or Square,X360,2009,Action,THQ,0.03,0.04,0.0,72.0,6.5,E
Mega Man Xtreme 2,GB,2001,Platform,Capcom,0.0,0.0,0.07,72.0,7.5,
"Sesame Street: Ready, Set, Grover!",DS,2011,Misc,Warner Bros. Interactive Entertainment,0.07,0.0,0.0,72.0,7.5,
I-Ninja,XB,2003,Platform,Namco Bandai Games,0.05,0.02,0.0,75.0,8.4,T
Sigma Harmonics,DS,2008,Role-Playing,Square Enix,0.0,0.0,0.07,72.0,7.5,
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,Shooter,Sega,0.06,0.01,0.0,72.0,7.5,
The Lord of the Rings: The Battle for Middle-Earth,PC,2004,Strategy,Electronic Arts,0.01,0.06,0.0,82.0,8.6,T
Kessen III,PS2,2004,Strategy,Tecmo Koei,0.04,0.03,0.0,73.0,8.1,T
The King of Fighters Collection: The Orochi Saga,PSP,2008,Fighting,Ignition Entertainment,0.07,0.0,0.0,61.0,7.0,T
Summon Night,DS,2008,Role-Playing,Banpresto,0.0,0.0,0.07,72.0,7.5,
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0.0,64.0,7.0,E
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0.0,0.07,0.0,72.0,7.5,
Wrath Unleashed,PS2,2004,Strategy,LucasArts,0.04,0.03,0.0,64.0,6.0,T
Beyond Good & Evil,GC,2003,Adventure,Ubisoft,0.06,0.01,0.0,72.0,7.5,
Divinity II: Ego Draconis,PC,2009,Role-Playing,DTP Entertainment,0.01,0.05,0.0,72.0,7.7,M
Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive,0.05,0.02,0.0,67.0,8.4,T
Emergency 2012,PC,2010,Simulation,Deep Silver,0.02,0.04,0.0,61.0,6.2,T
NOëL: La Neige,PS,1998,Adventure,Pioneer LDC,0.0,0.0,0.07,72.0,7.5,
Busou Shinki: Battle Masters,PSP,2010,Action,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Overlord: Minions,DS,2009,Puzzle,Codemasters,0.07,0.0,0.0,58.0,5.5,E10+
Roll Away,PS,1998,Puzzle,Sony Computer Entertainment,0.04,0.03,0.0,72.0,7.5,
Derby Jockey: Kishou e no Michi,SNES,1994,Sports,Asmik Corp,0.0,0.0,0.07,72.0,7.5,
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0.0,0.05,71.0,6.2,T
Harukanaru Toki no Naka de 4,PS2,2008,Adventure,Tecmo Koei,0.0,0.0,0.07,72.0,7.5,
Winning Post 7 2012,PS3,2012,Sports,Ackkstudios,0.0,0.0,0.07,72.0,7.5,
Spot Goes to Hollywood,PS,1996,Platform,Virgin Interactive,0.04,0.03,0.0,72.0,7.5,
G Darius,PS,1997,Shooter,THQ,0.04,0.03,0.0,72.0,7.5,
Mucha Lucha! Mascaritas of the Lost Code,GBA,2003,Fighting,Ubisoft,0.05,0.02,0.0,72.0,7.5,
SD Gundam: Gashapon Wars,GC,2005,Strategy,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0.0,33.0,4.5,E
Hearts of Iron III,PC,2009,Strategy,Paradox Interactive,0.02,0.04,0.0,77.0,7.1,E10+
River King: Mystic Valley (US sales),DS,2007,Sports,Rising Star Games,0.07,0.0,0.0,72.0,7.5,
Kengo: Legend of The 9,X360,2006,Fighting,Majesco Entertainment,0.06,0.01,0.0,38.0,4.1,M
Romance of the Three Kingdoms XI,PS2,2007,Strategy,Tecmo Koei,0.0,0.0,0.07,69.0,8.4,E10+
Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,0.06,0.0,0.0,73.0,7.3,E10+
Model * Oshare Audition: Dream Girl,3DS,2013,Misc,Alchemist,0.0,0.0,0.07,72.0,7.5,
Lupin Sansei: Shijou Saidai no Zunousen,DS,2010,Adventure,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0.0,0.07,0.0,89.0,8.6,M
WRC 2: FIA World Rally Championship,X360,2011,Racing,Ubisoft,0.0,0.06,0.0,72.0,7.5,
Archer Maclean's 3D Pool,GBA,2003,Misc,Crave Entertainment,0.05,0.02,0.0,72.0,7.5,
TMNT: Mutant Melee,GC,2005,Fighting,Konami Digital Entertainment,0.06,0.01,0.0,44.0,2.8,T
Combat: Task Force 121,XB,2005,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,44.0,8.5,M
Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Exhibition Volume 4,XB,2003,Misc,Microsoft Game Studios,0.05,0.02,0.0,72.0,7.5,
Viewpoint,PS,1995,Shooter,Electronic Arts,0.04,0.03,0.0,72.0,7.5,
Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,2008,Adventure,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Disney's Donald Duck Advance,GBA,2001,Platform,Ubisoft,0.05,0.02,0.0,72.0,7.5,
Stacked with Daniel Negreanu,PS2,2006,Misc,Myelin Media,0.04,0.03,0.0,63.0,5.3,T
Hakuouki: Yuugi Roku,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.07,72.0,7.5,
The Rub Rabbits!,DS,2005,Puzzle,Sega,0.03,0.0,0.04,72.0,7.5,
Let's Ride! Friends Forever,DS,2008,Adventure,THQ,0.07,0.0,0.0,72.0,7.5,
Circus Maximus: Chariot Wars,XB,2002,Racing,THQ,0.05,0.02,0.0,67.0,5.0,T
Kenyuu Densetsu Yaiba,SNES,1994,Action,Banpresto,0.0,0.0,0.07,72.0,7.5,
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009,Strategy,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009,Strategy,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Serious Sam: Next Encounter,PS2,2004,Shooter,Global Star,0.04,0.03,0.0,65.0,7.8,M
Eiken DS,DS,2007,Misc,Rocket Company,0.0,0.0,0.07,72.0,7.5,
Game Center CX: Arino no Chousenjou 2,DS,2009,Action,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Tom Clancy's Ghost Recon 2,GC,2005,Shooter,Ubisoft,0.06,0.01,0.0,54.0,1.4,T
E.X. Troopers,3DS,2012,Shooter,Capcom,0.0,0.0,0.07,72.0,7.5,
The Croods: Prehistoric Party!,Wii,2013,Misc,D3Publisher,0.01,0.05,0.0,72.0,7.5,
J Legend Retsuden,3DS,2013,Misc,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Port Royale 3,PS3,2007,Simulation,Kalypso Media,0.06,0.0,0.0,72.0,8.9,T
Monster Racers,DS,2009,Racing,Tecmo Koei,0.05,0.0,0.02,70.0,9.0,E
The King of Fighters: Evolution,DC,2000,Fighting,SNK,0.0,0.0,0.07,72.0,7.5,
DS Uranai Seikatsu,DS,2009,Misc,Nintendo,0.0,0.0,0.07,72.0,7.5,
Hyperdimension Neptunia Re;Birth 3,PSV,2014,Action,Idea Factory International,0.04,0.02,0.0,72.0,7.5,
Pro Farm 1,PC,2011,Simulation,Excalibur Publishing,0.0,0.06,0.0,72.0,7.5,
Speed Zone,Wii,2009,Racing,Bethesda Softworks,0.01,0.05,0.0,37.0,3.8,E
All-Star Baseball 2004,GBA,2003,Sports,Acclaim Entertainment,0.05,0.02,0.0,72.0,7.5,
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,2012,Action,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
James Cameron's Dark Angel,XB,2002,Action,Vivendi Games,0.05,0.02,0.0,47.0,8.3,T
The Legend of Heroes: Trails in the Sky Third Chapter,PSP,2008,Role-Playing,Falcom Corporation,0.0,0.0,0.07,72.0,7.5,
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0.0,37.0,5.9,M
Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,2007,Racing,Black Bean Games,0.03,0.03,0.0,72.0,7.5,
Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,0.04,0.03,0.0,72.0,7.5,
Dream Trigger 3D,3DS,2007,Shooter,D3Publisher,0.04,0.02,0.0,54.0,6.3,E
Monster Rancher Battle Card: Episode II,PS,2000,Action,Tecmo Koei,0.04,0.03,0.0,72.0,7.5,
Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000,Sports,Nintendo,0.0,0.0,0.07,72.0,7.5,
Jumper: Griffin's Story,PS2,2008,Action,Eidos Interactive,0.03,0.03,0.0,72.0,4.2,T
Operation Darkness,X360,2007,Role-Playing,Success,0.07,0.0,0.0,46.0,7.0,M
Famicom Mini: Nazo no Murasame-Jou,GBA,2004,Action,Nintendo,0.0,0.0,0.07,72.0,7.5,
Galerians: Ash,PS2,2002,Adventure,Sammy Corporation,0.03,0.03,0.0,50.0,7.9,T
Dead Island: Riptide,PC,2007,Action,Deep Silver,0.0,0.07,0.0,61.0,6.0,M
R-Type Command,PSP,2007,Strategy,Rising Star Games,0.05,0.0,0.01,69.0,6.5,E10+
Kane & Lynch 2: Dog Days,PC,2010,Shooter,Square Enix,0.0,0.06,0.0,72.0,7.5,
Haunting Ground,PS2,2005,Action,Capcom,0.03,0.03,0.0,67.0,8.8,M
Mahjong Fight Club DS: Wi-Fi Taiou,DS,2006,Misc,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005,Misc,505 Games,0.07,0.0,0.0,72.0,7.5,
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.03,0.0,0.03,78.0,8.1,T
Robocalypse,DS,2008,Strategy,Tecmo Koei,0.07,0.0,0.0,78.0,8.6,E10+
Vampire Knight DS,DS,2009,Adventure,D3Publisher,0.0,0.0,0.07,72.0,7.5,
Homie Rollerz,DS,2008,Racing,Destineer,0.07,0.0,0.0,23.0,2.4,E
Rugby League 3,Wii,2010,Sports,Alternative Software,0.0,0.06,0.0,72.0,7.5,
Magi: The Labyrinth of Beginning,3DS,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Escape Dead Island,X360,2014,Action,Deep Silver,0.03,0.04,0.0,32.0,3.8,M
Tom Clancy's Splinter Cell: Chaos Theory,DS,2005,Action,Ubisoft,0.06,0.0,0.0,50.0,7.0,T
The Croods: Prehistoric Party!,DS,2013,Misc,D3Publisher,0.03,0.04,0.0,72.0,7.5,
I Don't Have Many Friends Portable,PSP,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
SimCity 4: Deluxe Edition,PC,2003,Simulation,Electronic Arts,0.0,0.06,0.0,72.0,8.3,E
Jewel Link Chronicles: Legend of Athena,DS,2011,Puzzle,GSP,0.0,0.06,0.0,72.0,7.5,
CSI: Dark Motives,DS,2007,Adventure,Ubisoft,0.05,0.01,0.0,72.0,6.7,T
Burnout Paradise: The Ultimate Box,PS3,2009,Racing,Electronic Arts,0.0,0.05,0.01,72.0,7.5,
Loons: The Fight For Fame,XB,2002,Action,Atari,0.05,0.02,0.0,72.0,7.5,
Romance of the Three Kingdoms IX,PS2,2003,Strategy,Tecmo Koei,0.03,0.03,0.0,74.0,8.9,E
Second Sight,XB,2004,Adventure,Codemasters,0.05,0.02,0.0,75.0,8.0,T
Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015,Role-Playing,Kadokawa Shoten,0.0,0.0,0.07,72.0,7.5,
Totaled!,XB,2002,Racing,Rage Software,0.05,0.02,0.0,72.0,7.5,
Bleach: Heat the Soul 3,PSP,2006,Fighting,Sony Computer Entertainment,0.0,0.0,0.07,72.0,7.5,
Ecco: The Tides of Time,GEN,1993,Adventure,Sega,0.0,0.0,0.07,72.0,7.5,
Make 10: A Journey of Numbers,DS,2007,Puzzle,Nintendo,0.0,0.0,0.07,72.0,7.5,
Fantasy Aquarium by DS,DS,2008,Simulation,Mercury Games,0.07,0.0,0.0,72.0,7.5,
Operation Flashpoint: Red River,PC,2011,Shooter,Codemasters,0.01,0.04,0.0,67.0,4.9,M
Machine Head,PS,1996,Shooter,Eidos Interactive,0.04,0.03,0.0,72.0,7.5,
Vanguard Bandits,PS,1998,Strategy,Human Entertainment,0.04,0.03,0.0,62.0,7.4,T
MLB Front Office Manager,X360,2009,Sports,Take-Two Interactive,0.06,0.0,0.0,47.0,4.6,E
Lost Heroes,PSP,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Child of Light,PSV,2014,Role-Playing,Ubisoft,0.0,0.04,0.02,83.0,7.8,E10+
The Legend of Heroes VII: The Trail of Zero,PSV,2012,Role-Playing,Falcom Corporation,0.0,0.0,0.07,72.0,7.5,
Shin Chan Contra ¡Los Plastas!,DS,2009,Platform,505 Games,0.0,0.0,0.07,72.0,7.5,
Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014,Adventure,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Silent Hill: Origins,PS2,2008,Action,Konami Digital Entertainment,0.03,0.03,0.0,70.0,7.4,M
Blast Radius,PS,1998,Action,Psygnosis,0.04,0.03,0.0,72.0,7.5,
Resident Evil: Revelations 2,X360,2015,Action,Capcom,0.04,0.02,0.0,72.0,6.6,M
Pro Yaky? Spirits 2011,3DS,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Disaster: Day of Crisis,Wii,2008,Action,Nintendo,0.0,0.02,0.04,69.0,7.5,
Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.05,0.02,0.0,59.0,6.0,E
McFarlane's Evil Prophecy,PS2,2007,Action,Konami Digital Entertainment,0.03,0.03,0.0,34.0,3.2,M
IA/VT Colorful,PSV,2015,Misc,Marvelous Entertainment,0.0,0.0,0.07,72.0,7.5,
We Sing Rock!,Wii,2011,Misc,Nordic Games,0.0,0.06,0.0,72.0,7.5,
Wallace & Gromit in Project Zoo,GC,2003,Platform,BAM! Entertainment,0.05,0.01,0.0,72.0,7.5,
Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco,0.06,0.01,0.0,72.0,7.5,
Super Robot Spirits,N64,1998,Fighting,Banpresto,0.0,0.0,0.04,72.0,7.5,
Mia Hamm Soccer 64,N64,2000,Sports,THQ,0.06,0.01,0.0,72.0,7.5,
John Madden Football,SNES,1991,Sports,Imagineer,0.0,0.0,0.07,72.0,7.5,
Caesars Palace Advance: Millennium Gold Edition,GBA,2001,Misc,Majesco Entertainment,0.05,0.02,0.0,72.0,7.5,
Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0.0,72.0,7.5,
Battlezone: Rise of the Black Dogs,N64,2000,Strategy,Crave Entertainment,0.06,0.01,0.0,72.0,7.5,
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,72.0,7.5,
Damnation,X360,2009,Shooter,Codemasters,0.06,0.01,0.0,36.0,5.6,M
Samurai Warriors,XB,2004,Action,Tecmo Koei,0.05,0.02,0.0,71.0,9.0,T
GunParade Orchestra: Shiro no Shou,PS2,2006,Adventure,Sony Computer Entertainment,0.0,0.0,0.07,72.0,7.5,
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,2009,Action,Irem Software Engineering,0.0,0.0,0.07,72.0,7.5,
FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,0.05,0.01,0.0,83.0,6.2,E
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,2013,Strategy,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Record of Agarest War,PS3,2007,Role-Playing,Ghostlight,0.0,0.03,0.03,67.0,6.8,T
SNK Arcade Classics Vol. 1,Wii,2008,Misc,Ignition Entertainment,0.06,0.0,0.0,73.0,8.0,T
Dave Mirra BMX Challenge,PSP,2006,Sports,Oxygen Interactive,0.06,0.0,0.0,32.0,4.6,E
Rayman 3: Hoodlum Havoc,GC,2003,Platform,Ubisoft,0.05,0.01,0.0,77.0,8.3,E
Tony Hawk's Pro Skater 5,X360,2015,Sports,Activision,0.06,0.0,0.0,72.0,2.8,T
Tales of Rebirth,PSP,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
The Guy Game,XB,2004,Misc,Gathering of Developers,0.05,0.02,0.0,47.0,5.4,M
Let's Ride! Dreamer,GBA,2005,Adventure,DTP Entertainment,0.05,0.02,0.0,72.0,7.5,
Fantasia: Music Evolved,X360,2014,Misc,Disney Interactive Studios,0.06,0.01,0.0,72.0,7.0,E10+
Tecmo's Deception,PS,1996,Role-Playing,Sunsoft,0.04,0.03,0.0,72.0,7.5,
Point Blank DS (JP sales),DS,2006,Shooter,Atari,0.0,0.0,0.07,72.0,7.5,
Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,0.06,0.0,0.0,61.0,7.4,T
G-Saviour,PS2,2000,Action,Sunrise Interactive,0.0,0.0,0.07,72.0,7.5,
Open Season,Wii,2006,Platform,Ubisoft,0.06,0.0,0.0,49.0,5.6,E10+
Gintama DS: Yorozuya Daisoudou,DS,2006,Action,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Drake of the 99 Dragons,XB,2007,Shooter,Unknown,0.05,0.01,0.0,22.0,1.8,T
BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.03,0.0,0.03,72.0,7.8,T
Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.07,72.0,7.5,
Crimson Sea 2,PS2,2004,Action,Tecmo Koei,0.03,0.03,0.0,75.0,8.3,T
Tokyo Twilight Ghost Hunters,PSV,2014,Role-Playing,Aksys Games,0.03,0.01,0.02,63.0,7.0,T
Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008,Adventure,Alchemist,0.0,0.0,0.07,72.0,7.5,
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013,Action,FuRyu,0.0,0.0,0.07,72.0,7.5,
Ragnarok: Hikari to Yami no Koujo,PSP,2011,Role-Playing,GungHo,0.02,0.0,0.05,72.0,7.5,
Saint Seiya: Brave Soldiers,PS3,2013,Fighting,Namco Bandai Games,0.0,0.01,0.06,55.0,7.4,
Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,0.02,0.0,0.04,72.0,8.5,T
Digimon World Championship,DS,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,49.0,6.5,E
AMF Bowling Pinbusters!,DS,2008,Sports,Vir2L Studios,0.06,0.0,0.0,72.0,7.5,
RayStorm,PS,1997,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,79.0,7.8,E
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005,Platform,Ubisoft,0.05,0.01,0.0,72.0,7.5,
Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,0.04,0.02,0.0,58.0,6.8,T
Trick DS-han: Kakushi Kami no Sumukan,DS,2010,Misc,Konami Digital Entertainment,0.0,0.0,0.07,72.0,7.5,
Circuit Breakers,PS,1998,Racing,Mindscape,0.04,0.03,0.0,72.0,7.5,
Winter Sports 2011,Wii,2011,Sports,DTP Entertainment,0.0,0.06,0.0,72.0,7.5,
Catwoman,GC,2004,Action,Electronic Arts,0.05,0.01,0.0,47.0,6.1,T
Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.03,0.0,56.0,8.3,M
Tank! Tank! Tank!,WiiU,2012,Action,Namco Bandai Games,0.02,0.01,0.05,72.0,7.5,
Football Manager 2010,PC,2009,Sports,Sega,0.0,0.06,0.0,87.0,9.0,E
Target: Terror,Wii,2008,Shooter,Konami Digital Entertainment,0.06,0.0,0.0,33.0,2.7,M
Mugen Souls Z,PS3,2013,Role-Playing,Nippon Ichi Software,0.02,0.01,0.04,57.0,6.4,T
BeatMania,PS2,2006,Simulation,Konami Digital Entertainment,0.03,0.03,0.0,67.0,8.9,E10+
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.02,0.02,0.03,72.0,7.5,
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,GBA,2006,Action,Banpresto,0.0,0.0,0.07,72.0,7.5,
Shrek's Carnival Craze Party Games,PS2,2008,Misc,Activision,0.03,0.03,0.0,72.0,7.5,
Dream Dance & Cheer,Wii,2009,Misc,Zoo Games,0.06,0.0,0.0,72.0,7.5,
Silpheed: The Lost Planet,PS2,2000,Shooter,Swing! Entertainment,0.03,0.03,0.0,72.0,7.5,T
Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011,Sports,Rocket Company,0.0,0.0,0.07,72.0,7.5,
Real Time Conflict: Shogun Empires,DS,2005,Strategy,Namco Bandai Games,0.06,0.0,0.0,35.0,5.6,E10+
Spartan: Total Warrior,GC,2005,Action,Sega,0.05,0.01,0.0,73.0,8.3,M
Pitfall: The Lost Expedition,XB,2004,Platform,Activision,0.05,0.01,0.0,73.0,7.8,E
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014,Action,Nippon Columbia,0.0,0.0,0.07,72.0,7.5,
Fantastic Four,PS,1997,Action,Acclaim Entertainment,0.04,0.03,0.0,72.0,7.5,
Higurashi no Naku Koro ni Matsuri: Kakera Asobi,PS2,2007,Adventure,Alchemist,0.0,0.0,0.07,72.0,7.5,
River City Ransom EX,GBA,2004,Action,Atlus,0.05,0.02,0.0,75.0,8.4,T
Bionicle Heroes,X360,2006,Shooter,Eidos Interactive,0.05,0.01,0.0,59.0,5.9,E10+
San Goku Shi Taisen Ten,DS,2008,Strategy,Sega,0.0,0.0,0.07,72.0,7.5,
Fable: The Lost Chapters,PC,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,83.0,8.7,M
